Date,Capital Gains
2002-12-17,0.304000
2003-12-18,0.079000
2004-12-28,0.258000
2005-12-22,1.030000
2006-12-20,2.630000
2007-12-19,3.252000
2012-12-18,1.375000
2013-12-18,0.402000
2014-12-09,0.626000
2015-12-08,1.398000
2016-12-14,0.283000
2017-12-20,1.775000
2018-12-19,2.278000
2019-12-12,4.275000
2021-12-15,2.316000

