Date,Dividends
2000-12-15,0.247000
2001-12-14,0.024000
2002-12-13,0.006000
2004-12-17,0.026000
2005-12-16,0.037000
2006-12-15,0.356000
2007-12-14,0.086000
2008-12-12,0.059000
2009-12-18,0.005000
2010-04-29,0.014000
2010-12-20,0.031000
2012-12-18,0.132000
2013-12-17,0.028000
2014-12-17,0.054000
2015-12-17,0.060000
2016-12-19,0.050000
2017-12-19,0.049000
2018-12-18,0.046000
2019-12-17,0.161000
2020-12-17,0.122000
2021-12-20,0.064000

