Date,Dividends
2002-12-17,0.177000
2003-12-18,0.452000
2004-12-28,0.181000
2005-12-22,0.445000
2006-12-20,0.893000
2007-12-19,0.595000
2008-12-23,0.427000
2009-12-22,0.260000
2010-12-21,0.923000
2012-12-18,0.894000
2013-12-18,0.304000
2014-12-09,0.508000
2015-12-08,0.210000
2016-12-14,0.254000
2017-12-20,0.363000
2018-12-19,0.469000
2019-12-12,0.333000
2020-12-10,0.228000
2021-12-15,0.161000

