Date,Capital Gains
2005-12-16,0.181
2006-12-15,1.813
2007-12-14,0.876
2008-12-12,0.368
2014-12-17,2.277
2015-12-17,0.505
2016-12-19,0.682
2017-12-19,1.468
2018-12-18,1.418
2019-12-17,2.322
2020-12-17,0.312
2021-12-20,2.745

