Date,Open,High,Low,Close,Adj Close,Volume
1996-05-22,11.770000,11.770000,11.770000,11.770000,3.617782,0
1996-05-23,11.760000,11.760000,11.760000,11.760000,3.614707,0
1996-05-24,11.690000,11.690000,11.690000,11.690000,3.593191,0
1996-05-28,11.650000,11.650000,11.650000,11.650000,3.580898,0
1996-05-29,11.680000,11.680000,11.680000,11.680000,3.590119,0
1996-05-30,11.760000,11.760000,11.760000,11.760000,3.614707,0
1996-05-31,11.820000,11.820000,11.820000,11.820000,3.633151,0
1996-06-03,11.770000,11.770000,11.770000,11.770000,3.617782,0
1996-06-04,11.800000,11.800000,11.800000,11.800000,3.627003,0
1996-06-05,11.830000,11.830000,11.830000,11.830000,3.636225,0
1996-06-06,11.850000,11.850000,11.850000,11.850000,3.642373,0
1996-06-07,11.820000,11.820000,11.820000,11.820000,3.633151,0
1996-06-10,11.850000,11.850000,11.850000,11.850000,3.642373,0
1996-06-11,11.800000,11.800000,11.800000,11.800000,3.627003,0
1996-06-12,11.840000,11.840000,11.840000,11.840000,3.639298,0
1996-06-13,11.810000,11.810000,11.810000,11.810000,3.630077,0
1996-06-14,11.910000,11.910000,11.910000,11.910000,3.660813,0
1996-06-17,11.900000,11.900000,11.900000,11.900000,3.657741,0
1996-06-18,11.930000,11.930000,11.930000,11.930000,3.666961,0
1996-06-19,11.930000,11.930000,11.930000,11.930000,3.666961,0
1996-06-20,11.940000,11.940000,11.940000,11.940000,3.670036,0
1996-06-21,11.910000,11.910000,11.910000,11.910000,3.660813,0
1996-06-24,11.990000,11.990000,11.990000,11.990000,3.685404,0
1996-06-25,12.000000,12.000000,12.000000,12.000000,3.688477,0
1996-06-26,12.040000,12.040000,12.040000,12.040000,3.700773,0
1996-06-27,12.020000,12.020000,12.020000,12.020000,3.694625,0
1996-06-28,12.080000,12.080000,12.080000,12.080000,3.713068,0
1996-07-01,12.100000,12.100000,12.100000,12.100000,3.719215,0
1996-07-02,12.130000,12.130000,12.130000,12.130000,3.728436,0
1996-07-03,12.120000,12.120000,12.120000,12.120000,3.725363,0
1996-07-05,12.060000,12.060000,12.060000,12.060000,3.706920,0
1996-07-08,11.990000,11.990000,11.990000,11.990000,3.685404,0
1996-07-09,12.040000,12.040000,12.040000,12.040000,3.700773,0
1996-07-10,12.080000,12.080000,12.080000,12.080000,3.713068,0
1996-07-11,12.070000,12.070000,12.070000,12.070000,3.709993,0
1996-07-12,12.020000,12.020000,12.020000,12.020000,3.694625,0
1996-07-15,11.920000,11.920000,11.920000,11.920000,3.663887,0
1996-07-16,11.840000,11.840000,11.840000,11.840000,3.639298,0
1996-07-17,11.870000,11.870000,11.870000,11.870000,3.648519,0
1996-07-18,11.910000,11.910000,11.910000,11.910000,3.660813,0
1996-07-19,12.020000,12.020000,12.020000,12.020000,3.694625,0
1996-07-22,11.970000,11.970000,11.970000,11.970000,3.679256,0
1996-07-23,11.930000,11.930000,11.930000,11.930000,3.666961,0
1996-07-24,11.770000,11.770000,11.770000,11.770000,3.617782,0
1996-07-25,11.830000,11.830000,11.830000,11.830000,3.636225,0
1996-07-26,11.770000,11.770000,11.770000,11.770000,3.617782,0
1996-07-29,11.740000,11.740000,11.740000,11.740000,3.608560,0
1996-07-30,11.710000,11.710000,11.710000,11.710000,3.599339,0
1996-07-31,11.770000,11.770000,11.770000,11.770000,3.617782,0
1996-08-01,11.860000,11.860000,11.860000,11.860000,3.645445,0
1996-08-02,11.960000,11.960000,11.960000,11.960000,3.676182,0
1996-08-05,11.980000,11.980000,11.980000,11.980000,3.682331,0
1996-08-06,11.950000,11.950000,11.950000,11.950000,3.673109,0
1996-08-07,11.920000,11.920000,11.920000,11.920000,3.663887,0
1996-08-08,11.950000,11.950000,11.950000,11.950000,3.673109,0
1996-08-09,11.990000,11.990000,11.990000,11.990000,3.685404,0
1996-08-12,11.980000,11.980000,11.980000,11.980000,3.682331,0
1996-08-13,11.970000,11.970000,11.970000,11.970000,3.679256,0
1996-08-14,11.940000,11.940000,11.940000,11.940000,3.670036,0
1996-08-15,11.970000,11.970000,11.970000,11.970000,3.679256,0
1996-08-16,11.950000,11.950000,11.950000,11.950000,3.673109,0
1996-08-19,11.960000,11.960000,11.960000,11.960000,3.676182,0
1996-08-20,11.990000,11.990000,11.990000,11.990000,3.685404,0
1996-08-21,12.010000,12.010000,12.010000,12.010000,3.691552,0
1996-08-22,12.040000,12.040000,12.040000,12.040000,3.700773,0
1996-08-23,12.080000,12.080000,12.080000,12.080000,3.713068,0
1996-08-26,12.140000,12.140000,12.140000,12.140000,3.731510,0
1996-08-27,12.140000,12.140000,12.140000,12.140000,3.731510,0
1996-08-28,12.130000,12.130000,12.130000,12.130000,3.728436,0
1996-08-29,12.080000,12.080000,12.080000,12.080000,3.713068,0
1996-08-30,12.050000,12.050000,12.050000,12.050000,3.703847,0
1996-09-03,11.960000,11.960000,11.960000,11.960000,3.676182,0
1996-09-04,12.000000,12.000000,12.000000,12.000000,3.688477,0
1996-09-05,11.990000,11.990000,11.990000,11.990000,3.685404,0
1996-09-06,11.960000,11.960000,11.960000,11.960000,3.676182,0
1996-09-09,12.030000,12.030000,12.030000,12.030000,3.697699,0
1996-09-10,11.990000,11.990000,11.990000,11.990000,3.685404,0
1996-09-11,12.000000,12.000000,12.000000,12.000000,3.688477,0
1996-09-12,12.020000,12.020000,12.020000,12.020000,3.694625,0
1996-09-13,12.070000,12.070000,12.070000,12.070000,3.709993,0
1996-09-16,12.100000,12.100000,12.100000,12.100000,3.719215,0
1996-09-17,12.100000,12.100000,12.100000,12.100000,3.719215,0
1996-09-18,12.130000,12.130000,12.130000,12.130000,3.728436,0
1996-09-19,12.090000,12.090000,12.090000,12.090000,3.716141,0
1996-09-20,12.100000,12.100000,12.100000,12.100000,3.719215,0
1996-09-23,12.040000,12.040000,12.040000,12.040000,3.700773,0
1996-09-24,12.050000,12.050000,12.050000,12.050000,3.703847,0
